Time, Date, TweetText
10:47 AM,13 Jan 2020,:)))https://twitter.com/aspalod/status/1216769220320456704 …
10:46 AM,13 Jan 2020,wo bhi kya din the .. !!!https://twitter.com/GangulySunetra/status/1216782054588706817 …
10:42 AM,13 Jan 2020,क्या बात कर रहे हो यार ! really .. ?? https://twitter.com/aspalod/status/1216783426289729536 …
12:05 PM,12 Jan 2020,T 3708 - .. the greatest invention of all .. CONNECT ! .. and its in your hand ever ..
10:52 AM,12 Jan 2020,@SrBachchan सरजी आपके लिए विशेषpic.twitter.com/9HkIgWnevv
11:19 AM,12 Jan 2020,hahahhahttps://twitter.com/AMITADAHEUR2/status/1216095314991550468 …
11:18 AM,12 Jan 2020,dhanyawaadhttps://twitter.com/Gopalbachchan/status/1216433353722744832 …
10:09 AM,12 Jan 2020,wow ...https://twitter.com/pokershash/status/1216179544014479360 …
10:06 AM,12 Jan 2020,agreehttps://twitter.com/SwetaLoveAB/status/1216239178989461505 …
10:01 AM,12 Jan 2020,... but we met .. lovehttps://twitter.com/ashokmistry4545/status/1216326034917748736 …
9:38 AM,12 Jan 2020,haha soo truehttps://twitter.com/ashokmistry4545/status/1216394729249746946 …
9:38 AM,12 Jan 2020,so gratefulhttps://twitter.com/Ashabachchan/status/1216401143317831686 …
9:37 AM,12 Jan 2020,my gratitude and lovehttps://twitter.com/SwetaLoveAB/status/1216408843468492802 …
9:35 AM,12 Jan 2020,aabhaar https://twitter.com/ashokmistry4545/status/1216380339377098752 …
12:14 PM,11 Jan 2020,such moments .. loved and lived again and againhttps://twitter.com/MosesSapir/status/1215695328541839360 …
12:12 PM,11 Jan 2020,humbled https://twitter.com/CokyCrazyByAB/status/1216086552180166656 …
11:59 AM,11 Jan 2020,T 3607 - .. the creative beauty shall ever surpass the reality .. thank you for this innovative gift pic.twitter.com/quBdGH6Wzh
11:46 AM,11 Jan 2020,yes share it here .. and tag me i shall read and respond thank youhttps://twitter.com/titli29/status/1216079561399599106 …
11:38 AM,11 Jan 2020,this is the Saraswati Samman for Babuji .. he could not comehttps://twitter.com/rahul1021986/status/1214195436849729536 …
11:37 AM,11 Jan 2020,https://twitter.com/rahul1021986/status/1214225031057666048 …
11:22 AM,11 Jan 2020,i am deeply touched and so humbled .. yes would love to meet himhttps://twitter.com/aspalod/status/1216076090948538368 …
11:17 AM,11 Jan 2020,gracious and kind words .. but the touch of grace is the touch of the eldershttps://twitter.com/SwetaLoveAB/status/1216001927227424769 …
11:13 AM,11 Jan 2020,good eveninghttps://twitter.com/AMITADAHEUR2/status/1216064852571107329 …
11:11 AM,11 Jan 2020,adbhuthttps://twitter.com/JaniJasmine/status/1216044184378970113 …
11:35 AM,10 Jan 2020,T 3606 -  "कहते हैं तारे गाते हैं  ! ~ हरिवंश राय बच्चन  they say the stars they sing ; i put my ears to the skies heard nothing from countless throats of the sky ; heavens they hear this song  we on earth know but this ; all we get are dew drops as silent tears from abovepic.twitter.com/rkltjRaHTK
2:49 PM,9 Jan 2020,T 3605 - Babuji poem :  "जीवन है एक चुभा हुआ तीर   छटपटाता मन   तड़फड़ाता शरीर  सच्चाई है - सिद्ध करने की ज़रूरत है ? पीर पीर पीर । तीर को दो पहले निकाल   किसने किया शर का संधान  ? क्यूँ किया शर का संधान  ? किस क़िस्म का है बाण  ? ये हैं बाद के सवाल । तीर को दो पहले निकाल "pic.twitter.com/2VcojWCFr9
2:21 PM,9 Jan 2020,T 3605 - Uncover the epic life of Shri Ramanand Sagar in a new book written by his son & my good friend Shri Prem Sagar. Ramanand Sagar ji’s famous Ramayan TV series & his striking literary precocity have left an indelible mark on us all!https://amzn.to/34KdNB4
5:17 AM,9 Jan 2020,I washttps://twitter.com/BhagyashreeKol/status/1215256119746027527 …
4:47 AM,9 Jan 2020,आभारhttps://twitter.com/ManishK89979565/status/1215242891653574658 …
1:06 PM,8 Jan 2020,T 3604 -  .. they discuss that plants thrive when they listen to music  ...
11:53 AM,8 Jan 2020,oh dearhttps://twitter.com/cctv_idiots/status/1214839984349499395 …
11:45 AM,8 Jan 2020,intense concentration ..https://twitter.com/Ashabachchan/status/1214978544100675585 …
11:44 AM,8 Jan 2020,.. haha love the gracious bow at the endhttps://twitter.com/Ashabachchan/status/1214990948918288385 …
11:44 AM,8 Jan 2020,... so cute ..https://twitter.com/prashantkawadia/status/1214945461540311040 …
2:13 PM,7 Jan 2020,T 3604 -" प्रिये शेष बहुत है रात अभी मत जाओ " ~ बच्चन  कवि के विचार    और उनकी विचार धारा    अपार
1:48 AM,7 Jan 2020,T 3603 - https://youtu.be/OJyMVGUtUwk   "Happy Hardy & Heer" .. Himesh Reshamiya new film releasing 31st Jan 2020 .. my best wishes to you Himesh .. looking good ..
11:27 PM,6 Jan 2020,T 3603 - Sunday well wishers .. their love and mine ever .. gratitude and humbled .. been out of the country so a gap of a few Sunday's but thank you ..  37 years   non stop every Sunday .. lovepic.twitter.com/DwADJbhKUF
11:27 PM,6 Jan 2020,T 3603 - Sunday well wishers .. their love and mine ever .. gratitude and humbled .. been out of the country so a gap of a few Sunday's but thank you ..  37 years   non stop every Sunday .. lovepic.twitter.com/DwADJbhKUF
11:44 AM,5 Jan 2020,T 3602 -
10:55 PM,3 Jan 2020,T 3601 - Tara Sharma   family .. her show on Sunil Chhetri https://twitter.com/tarasharmasaluj/status/1213098773448208386?s=21 …  all good wishes ..
12:27 PM,3 Jan 2020,T ३६०० 3600 -  जो लेख लिखे वो लेखक   जो ट्वीट लिखे  वो 'ट्वीखक'   jo lekh likhe vo lekhak  jo tweet likhe vo 'tweekhak'    हास्य रस से भिगोया हुआ     परिपूर्ण
11:34 AM,2 Jan 2020,T 3599 - .. at times it is worth the while to look into the mirror .. a selfie of the self ..   SELFIE hindi version  व्यतिगत दूरभाषित यंत्र से हस्त उत्पादित स्व चित्र    व द य स ह  उ स च   वदय सह  उसच :pic.twitter.com/0VzRVX3w9B
9:33 AM,2 Jan 2020,T 3599 -  Marathi film  Make up starring Rinku Rajguru of Sairath fame.  Produced by friend Kaleem .. https://twitter.com/ThefilmMakeup/status/1212632712361627648 … @zkrulz59 @ThefilmMakeup
9:06 PM,1 Jan 2020,T 3599 - a retro based show with rarest of the rare trivia's  lost gem songs plus loads of super hit songs. Today's show is Amitabh Bachchan Kishore Kumar combination special  https://twitter.com/DIVYASOLGAMA/status/1212587693491798016?s=19 …  my good wishes to you ..
10:32 AM,1 Jan 2020,T 3598 - Guru Gobind Singh ji .. Jayanti .. 2  January .. Badhaiyaan ..pic.twitter.com/v7KK4a5Q3c
10:25 AM,1 Jan 2020,T 3598 - Badhaiyaan .. Guru Govind Singh ji Jayanti .. 2  January .. pic.twitter.com/jSsh2uHnxQ
10:04 AM,1 Jan 2020,T 3598 - "किसी का बर्तन खाली हो तो यह मत समझो कि "वो" माँगने आया है  हो सकता है वो "सबकुछ" बाँट के आया हो•••अज्ञात !"  ~from Ef  akh G   an empty bowl does not necessarily signify that someone has come to ask .. it could be that he has gifted all that was in there ..
11:24 AM,31 Dec 2019,T 3597 -" वर्ष नव हर्ष नव जीवन उत्कर्ष नव " ~ बच्चनpic.twitter.com/4YtqCRJpBG
8:45 PM,29 Dec 2019,#DadasahebPhalke award winner @SrBachchan ke liye tohafa. Single screens ki yaadein...Wo bhi kya din thhee jab silver/ golden/ diamond jubilee manayi jaati thi @javedjaduofficial  @salimkhan @rameshsippy @yrf @juniorbachchanpic.twitter.com/uwBs3yPSNV
8:57 PM,29 Dec 2019,T 3596 - ..my gratitude and my affection to the people of this great Country  INDIA .. for this recognition .. https://youtu.be/9agNfo9aOdQ pic.twitter.com/HpUMC3iCKu
11:49 AM,29 Dec 2019,T 3592/3/4/5 - .. my immense gratitude and respect for this moment ..pic.twitter.com/WavW3Hwkjw
11:34 AM,29 Dec 2019,ye mera hriday poorn aabhaar  ! https://twitter.com/PIB_India/status/1211254647735767042 …
11:31 AM,29 Dec 2019,aabhaar .. https://twitter.com/MainVivekSharma/status/1211286500958191618 …
1:06 PM,28 Dec 2019,T ३५९३/४ -"इस पार प्रिये मधु है तुम हो ; उस पार न जाने क्या होगा" ~ बच्चन
10:39 AM,28 Dec 2019,gratitude of the people and the masseshttps://twitter.com/aspalod/status/1210969210370678784 …
11:21 PM,27 Dec 2019,gratitude and grace .. they announce in Worclaw by the Mayor   to be the Hon Ambassador of the City .. honoured and humbled ..https://twitter.com/KonsulIndii/status/1210555035198865408 …
12:03 PM,27 Dec 2019,T 3592 - नया साल आने में बस कुछ ही दिन बाक़ी हैं  ; ज़्यादा परेशान होने की बात नहीं है   बस .... 19-20 ( उन्नीस बीस ) का ही फ़र्क़ है
8:01 PM,24 Dec 2019,T 3591 - On this auspicious day .. may the Angels of peace descend upon us   and bless us in their bountiful benevolence ..   आज के इस शुभ दिन पर ; हमारी प्रार्थना की शांति के देवदूत   हम सब पर अपना परोपकार बरसाएँ   और आशीर्वाद देंpic.twitter.com/nKkQ1gkawz
12:03 PM,24 Dec 2019,T 3590 - Christmas greetings .. love peace and happiness ever !!pic.twitter.com/OuNRkl70xc
11:37 AM,24 Dec 2019,what times and days they were .. the prison set was made on an empty ground soon after entering Film City  Mumbai for the first time .. then onwards it was known as the 'Kalia Maidan'https://twitter.com/aspalod/status/1209516879800258562 …
10:50 PM,23 Dec 2019,T 3587/8/9 - Thank you for your 'get wells' .. I improve gradually .. aabhaar !
9:03 AM,22 Dec 2019,sweta prasad .. this is not my Mother's picture .. ! https://twitter.com/SwetaLoveAB/status/1208792332641951744 …
8:39 AM,22 Dec 2019,i am so grateful for this .. thank youhttps://twitter.com/GangulySunetra/status/1208788535156731904 …
4:34 AM,22 Dec 2019,T 3584/5/6 -  Down with fever .. ! Not allowed to travel .. will not be able to attend National Award tomorrow in Delhi .. so unfortunate .. my regrets ..
11:37 PM,21 Dec 2019,the proudest moment and voice .. of the girl child .. of Aaradhya   my own ..https://twitter.com/vikasm12345/status/1208100468469239808 …
11:02 AM,20 Dec 2019,Powerful statement on women empowerment by AARADHYA school’s annual day event  Like Grand Father  Like Grand Daughter  @SrBachchan @BeejalBhatt @sanjay_patodiya @KalaYadav3 @PravsAhuja19 @MukherjiRatna @StLouisgirl123 @aspalod @JaniJasminepic.twitter.com/MnK5cpNvEb
11:00 AM,20 Dec 2019,अपनी बेहतरीन अभिव्यक्ति से आराध्या बिटिया ने सबका मन मोह लिया  @SrBachchan  ढेर सारा स्नेह और आशीर्वाद हम सब ef परिवार की ओर सेpic.twitter.com/B3bYJIidvZ
1:32 PM,20 Dec 2019,.. the pride of the family .. the pride of a girl .. the pride of all women ..  OUR dearest AARADHYA ..https://twitter.com/JaniJasmine/status/1208125110680313856 …
11:12 PM,19 Dec 2019,T 3583 -  "There are two wolves who are always fighting. One is darkness and despair. The other is light and hope. The question is which wolf wins ? -The one we feed." ~ Ef
9:46 PM,17 Dec 2019,T 3583 -  "बाबुल मोरा   नईहर  छूटोहि जाए " pic.twitter.com/eOpu1KClIl
2:36 AM,17 Dec 2019,T 3582 -  "मेरे बेटे   बेटे होने से मेरे उत्तराधिकारी नहीं होंगे   जो मेरे उत्तराधिकारी होंगे   वो मेरे बेटे होंगे " ~ हरिवंश राय बच्चन   .. and my diligent effort .. की मैं उनका उत्तराधिकारी बन सकूँ  !pic.twitter.com/5K1MRjuue3
11:25 PM,16 Dec 2019,T 3582 -  .. when it is difficult to fine words to give expression to feeling .. when expression of emotion is beyond the find of dictionaried content .. when honour to the creator of creative is given cognition beyond  ..  .. there can only be paucity ..  ..  Babuji pic.twitter.com/1nIi8v80AK
1:20 PM,15 Dec 2019,T 3581 - At one of the oldest Churches in Europe   in Poland a prayer for Babuji .. so touched and such an emotional moment .. his soul must be at peace and love .. Thank you Bishop and the people of Poland .. such an honourpic.twitter.com/dkcjUpEEN0
10:01 PM,14 Dec 2019,T 3580 -- इस आदर सम्मान का मैं हक़दार नहीं ; विनम्र विनय पूर्ण   आभार ! ये वो देश है विदेश में   जो पूज्य बाबूजी को सम्मानित करने जा रहा है । एक पुत्र के लिए इससे बड़ी  भाग्यशाली अवस्ता नहीं हो सकती  pic.twitter.com/FmyYAIkL0F
9:12 PM,14 Dec 2019,oh dear .. https://twitter.com/JaniJasmine/status/1206077739343605760 …
